,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Flood Risk 2022,Flood Hazard 2022,Flood Risk 2030,Flood Hazard 2030,Flood Risk 2050,Flood Hazard 2050,Extrem Heat Risk 2022,Extrem Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050
24,47eac3bb-a015-4356-8d7c-1e23e9379c6b,2e9da8c8-61df-454e-ada0-940199cf5a8c,442579b9-667a-494c-b3e3-f80a0a5d9ab1,e86b7424-18b6-4045-b80b-9b2cfb4d1356,,19226,Reserve at Clarendon Centre,3000 N. Washington Blvd.,Arlington,VA,Arlington,22201,Washington DC,VA-Arlington-RB Corridor,1,2003,High-Rise,252,38.88497728,-77.0937795,216340.0,PRIMARY_USE_FOOD_SERVICE,346,11.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
25,2cdb9b28-a808-45f4-a3fb-25ab23fb8540,d4e06a48-03b9-4a74-8a83-17449b38fa9e,3645e66b-2f20-495c-b937-ba50f9520943,affbdf70-1ae3-4bf0-bba4-061fac6dfb10,,19231,Church Corner,10 Magazine Street,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,1,1987,Mid-Rise,85,42.36452836,-71.10502183,81632.0,PRIMARY_USE_RESIDENTIAL,182,10.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
26,9ab2fc47-2f3f-47d5-a99f-6d913b8d0db7,7d3dc330-7d56-4fb5-beef-f4004ba26f92,3fe63dc7-eb84-4667-ad10-478d8740532e,3be713f0-263e-434b-8a93-0ba42d62c410,,19234,The Veridian,1133 East-West Highway,Silver Spring,MD,Montgomery,20910,Washington DC,MD-Silver Spring,2,2009,High-Rise,457,38.9899,-77.028575,395471.0,PRIMARY_USE_FOOD_SERVICE,621,15.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
27,7f7d7747-b918-4693-8069-d93989494d78,c5d77ad9-dca8-4ff2-929e-faeb6eb35e37,e831981c-a3a0-4928-bf60-c3d7e04dc6e3,35574163-77c2-497b-b8d7-fb11efb7c889,,19235,Highlands at South Plainfield,1300  Cook Lane,South Plainfield,NJ,Middlesex,7080,New York - Manhattan,NY-Suburbs,12,2000,Garden,252,40.55646459,-74.41752697,230034.0,PRIMARY_USE_RESIDENTIAL,387,3.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
28,2e1fbdfe-72fb-4c8b-9462-94396ee9cf77,c612e48b-f860-45a1-b5ef-b9d4fc8aa567,d8b86e8a-bf86-4732-aa9d-8b746641e338,230a03c5-63b7-44c9-bec5-610c721858f8,,19236,600 Washington,600 Washington Street,New York City,NY,New York,10014,New York - Manhattan,Manhattan-Chelsea,1,2004,Mid-Rise,135,40.73045,-74.009087,74089.0,PRIMARY_USE_RETAIL,149,7.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Moderately High,Very Low,Moderately High
29,ccbc2a3f-89a4-4d31-a85a-8fea85a7d3eb,2f49d4fd-b64f-4481-878b-1af6dee4b847,c8688f72-7fc4-4032-b6a7-b79002627ca1,464f6e06-0d5a-4938-a69e-5cb7b06ab2cb,,19239,Heritage at Stone Ridge,2 Littles Brook Court,Burlington,MA,Middlesex,1803,Boston,128 North,5,2005,Garden,180,42.48896655,-71.18694305,186514.0,PRIMARY_USE_RESIDENTIAL,292,3.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Low-Medium,High,Low-Medium,High,Low-Medium,High,Very Low,Moderately High,Very Low,Moderately High
30,aa93ee60-605f-4a58-850c-37a14d4e4511,1909a3ac-82b0-48ba-afe2-6c4b4f582f16,bbc50c9c-46c6-4683-998d-e851b6bd79f0,9977173b-f83f-4dad-8769-0cb08ca5e7f1,,19241,2201 Pershing,2201 N Pershing Drive,Arlington,VA,Arlington,22201,Washington DC,VA-Arlington-RB Corridor,2,2012,High-Rise,188,38.881071,-77.084407,180079.0,PRIMARY_USE_SCHOOL,295,5.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
31,4286d9de-e6f3-4ba3-9d52-2a1a8c7609aa,12570583-35f7-4085-ab9d-1b9a58bd7729,c7d215aa-ef74-4ccd-bc1a-3340f3083dcd,dd335a0c-53a0-4b1d-a29f-b29d163f2a6d,,19242,70 Greene,70 Greene Street,Jersey City,NJ,Hudson,7302,New York - Manhattan,Hudson Waterfront,1,2010,High-Rise,480,40.714778,-74.036058,384771.0,PRIMARY_USE_FOOD_SERVICE,610,51.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Moderate,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
32,8458b611-f4be-48cb-931e-e2196489977f,8f3cf99e-d0cf-4008-ae98-cf55908f2940,eff22629-5e36-4da7-8f99-02f2e37e63f7,ce704882-e000-4712-a600-cbbd0c57540e,,19244,Mosaic at Metro,6210 Belcrest Road,West Hyattsville,MD,Prince George,20782,Washington DC,MD-Prince George,7,2008,Mid-Rise,260,38.964096,-76.952298,257047.0,PRIMARY_USE_RESIDENTIAL,417,5.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,High
33,9f866c79-7fa9-40d0-a2a5-fad25fe3aa5a,7eb7f27e-5752-4298-8397-acae87331ce2,9f593553-7d4c-405a-854b-b3232e3afd07,821d1474-db9b-4f43-ac91-dcacbceabfaf,,19257,Longview Place,70 Hope Avenue,Waltham,MA,Middlesex,2453,Boston,128 West,3,2004,High-Rise,348,42.36913533,-71.24837384,354956.0,PRIMARY_USE_RESIDENTIAL,549,7.0,Very Low,Low,Very Low,Moderate,Very Low,Moderate,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Moderately High,Very Low,Moderately High
