,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Wildfire Risk 2022,Wildfire Risk 2050,Flood Risk 2022,Flood Risk 2030,Flood Risk 2050
53,6bf5c2fa-6f05-4c49-8150-ae2a6cf695c8,075825e5-b90d-4f0e-8464-e4a6e7d100ce,635490bd-0682-4335-90de-15993f5c0010,c1157069-1c64-4c5f-a990-66f0892a5d27,,29255,Versailles Koreatown,918 S. Oxford Avenue,Los Angeles,CA,Los Angeles,90006,Los Angeles,Hollywood/Mid Wilshire,1,2008,Mid-Rise,225,34.055214,-118.307793,-1,NONE,305,8.0,Very Low,Very Low,Very Low,Low,Low,Low
54,7ec0dc85-faf7-4aca-9749-8dab337533f0,8c052ebd-2c74-4ce4-ae85-fe97542e81eb,53954269-cbee-40d2-aecc-ff5e790c40b2,a93b2269-8305-4228-9491-fca7eb456da1,,29256,Acappella Pasadena,145 Chestnut Street,Pasadena,CA,Los Angeles,91103,Los Angeles,Glendale/Pasadena,1,2002,Mid-Rise,143,34.150419,-118.147768,-1,NONE,197,5.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
55,93ed5fc5-339b-432e-9d65-8f6b2bded263,0eb5cb1c-43e6-4048-8782-ce2723def63f,e8d16d63-d2bb-4458-b721-5d12653aeb77,994fb24d-fde3-4ad9-82e2-7cb9d558bba4,,29272,Lindley,5536 North Lindley Avenue,Encino,CA,Los Angeles,91316,Los Angeles,San Fernando Valley,1,2004,Mid-Rise,129,34.17132372,-118.5272506,-1,NONE,235,4.0,Very Low,Very Low,Very Low,Low,Low,Low
56,247db5d6-e906-4bec-bdbb-58c348cfab7d,cbbc2370-5f01-42ef-8fcd-3b24bfe924b6,c20c89a3-d6b6-4123-b7fc-8503f59ef549,549b8b87-748b-4ad4-9c89-a5a4c339edf0,,29276,Hikari,375 East Second St.,Los Angeles,CA,Los Angeles,90012,Los Angeles,Downtown CBD,1,2007,Mid-Rise,128,34.04805588,-118.2398773,-1,PRIMARY_USE_RESIDENTIAL,168,8.0,Very Low,Very Low,Very Low,Low-Medium,Low-Medium,Low-Medium
57,3e0b7e2c-5103-4151-a920-108025a0e7cd,1f23e160-e60d-4aec-9c38-017adbafeb5c,812ae6cd-da06-4f28-a450-59041e1f53d8,288b3cf7-1d7f-4e4b-b183-c3351149e066,,29279,Sakura Crossing,235 S. San Pedro St.,Los Angeles,CA,Los Angeles,90012,Los Angeles,Downtown CBD,1,2009,Mid-Rise,230,34.04832226,-118.2421449,-1,PRIMARY_USE_RETAIL,281,8.0,Very Low,Very Low,Very Low,Low,Low,Low
58,d69d86ec-ac55-46b6-9f3d-0b2b4c5f309c,ff2ce136-dce6-4d59-b106-0878f5b5ff88,ce7fc529-fa7a-4c28-b7cb-5a2f4d7d49d5,1673ff4e-9dec-4c72-9da2-892f7c9d4b49,,29280,Pegasus,612 S. Flower St.,Los Angeles,CA,Los Angeles,90017,Los Angeles,Downtown CBD,1,1949,High-Rise,322,34.05001,-118.25763,-1,PRIMARY_USE_RESIDENTIAL,425,14.0,Medium,Very Low,Very Low,Very Low,Very Low,Very Low
59,e6d8069a-55ce-4273-b4e0-9c4804a7b658,e3bf748a-333f-4bf6-a89f-80e4773f6abe,b75f85d0-6826-423f-b6f8-4a5a8ff52701,25f6a6aa-c8a8-4be6-b8ca-9135424de515,,29287,Promenade Town Center,24905 Magic Mountain Parkway,Valencia,CA,Los Angeles,91355,Los Angeles,Santa Clarita Valley,24,2001,Garden,564,34.42194044,-118.5697617,-1,PRIMARY_USE_RESIDENTIAL,902,3.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
60,22be603a-f44a-4f38-aed3-c4ee71108fa3,5e16d2b2-d306-4af6-8063-1b3d779c65bc,5115edda-4ee9-41aa-b769-0adfccab9f0e,ebf5777e-ce3d-4878-acd9-534843266e65,,29288,Artisan on 2nd,601 East 2nd St,Los Angeles,CA,Los Angeles,90012,Los Angeles,Downtown CBD,1,2008,Mid-Rise,118,34.04716113,-118.2370632,-1,NONE,201,7.0,Very Low,Very Low,Very Low,Low,Low,Low
61,326a4916-da85-4755-a7a8-9105da2a0969,1ad9bafb-c28f-43c4-8705-7b61f2523c1f,babaa4c9-1a58-4b12-99ee-d472214f8e02,408e02f4-ee8f-448a-b747-dc9b73216f7c,,29414,Glo,1050 Wilshire Boulevard,Los Angeles,CA,Los Angeles,90017,Los Angeles,Downtown CBD,2,2007,Mid-Rise,201,34.052019,-118.262422,-1,PRIMARY_USE_HEALTHCARE,345,7.0,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low
62,9c4ff53a-931d-4925-9a52-beeb879e0b80,55d5f957-344e-44c5-9096-1cd3c71c06a2,4c9fa41c-1883-4c0d-89e7-a0d99848181b,0e83f480-8f12-4ea5-9cdd-af0a3039bf6f,,29416,The Encore,4920 Van Nuys Boulevard,Sherman Oaks,CA,Los Angeles,91403,Los Angeles,San Fernando Valley,1,1988,Mid-Rise,174,34.15977387,-118.4487308,-1,PRIMARY_USE_RESIDENTIAL,213,5.0,Not Assessed,Very Low,Very Low,Low,Low,Low
