,Iris ID,Risk ID 1,Risk ID 2,Risk ID 3,Risk ID 4,Assessment ID,Ledger,Property Name,Address,City,State,County,ZIP,Market,Submarket,# Buildings,Year Built,Construction Type,Units,LATITUDE,LONGITUDE,Rentable Sqft,Replacement Cost,Primary Use,Number of beds,n Floors,Seismic Risk 2022,Seismic Hazard 2022,Wildfire Risk 2022,Wildfire Hazard 2022,Wildfire Risk 2050,Wildfire Hazard 2050,Flood Risk 2022,Flood Hazard 2022,Flood Driver 2022,Flood Risk 2037,Flood Hazard 2037,Flood Driver 2037,Flood Risk 2052,Flood Hazard 2052,Flood Driver 2052,Extreme Heat Risk 2022,Extreme Heat Hazard 2022,Extreme Heat Risk 2050,Extreme Heat Hazard 2050,Drought Risk 2022,Drought Hazard 2022,Drought Risk 2050,Drought Hazard 2050
20,88c309b8-8e06-4aac-874e-0fc9c8cf89ec,0d55bf08-4156-4c7d-b8b3-83031d2d636d,517bb7d6-3059-4210-95b3-28b7ee874554,09d9b470-aa03-4025-a1cb-779e7c661cff,a203af29-fdac-4511-b242-5057c768d93c,,19221,1210 Mass,1210 Massachusetts Avenue,Washington,DC,District of Columbia,20005,Washington DC,DC-Central,1,2004,High-Rise,144,38.904376,-77.028222,130479,81077635.0,PRIMARY_USE_RETAIL,213,13.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,High,Very Low,Medium,Very Low,Low
21,84f3586d-67fe-4920-bf32-d0a20db51df2,a7a45191-824b-41b4-9aea-99582f21983f,a5861d6c-d8d7-439f-a0fa-c46069415fa0,279b8f99-1153-480e-8000-7f88bd482c7b,3e95db66-8df0-47c7-ba99-934efdb0a93b,,19223,2400 M,2400 M Street NW,Washington,DC,District of Columbia,20037,Washington DC,DC-Central,1,2006,Mid-Rise,359,38.90529368,-77.0514391589947,330088,221273525.0,PRIMARY_USE_FOOD_SERVICE,439,10.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,High,Very Low,Medium,Very Low,Low
22,b6f35ea3-0c0b-4531-aecb-67cc82f660b4,bf3d92be-8cc0-4337-b805-9b58e8908e0e,8cdc01cf-0e09-4d46-a6f0-e263518a3e76,48703a6f-5c36-45bf-a589-2f8209f20925,eefad87a-37a8-403b-abdf-3c45330bf3c3,,19224,Reserve at Potomac Yard,3700 Richmond Hwy,Alexandria,VA,Alexandria City,22305,Washington DC,VA-Alexandria,2,2002,Mid-Rise,588,38.83794802,-77.05205387602,514532,184052973.0,PRIMARY_USE_RESIDENTIAL,824,5.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Medium,['fluvial'],Very Low,Medium,['fluvial'],Very Low,Medium,['fluvial'],Very Low,Medium-High,Very Low,High,Very Low,Low,Very Low,Low
23,359eae12-7e74-4a91-bce1-5a1e0a4f86cd,eeb9e86b-186e-4b33-af9c-ff408525782a,f17edf21-8812-4d71-88c4-22f63362a514,50a08b5c-85fb-4f4b-8f99-e5f40da75328,12bc51fe-0b8c-4e29-ab76-b29a71b5ed02,,19225,Carlyle Mill,2201 Mill Road,Alexandria,VA,Alexandria City,22314,Washington DC,VA-Alexandria,24,2002,Mid-Rise,317,38.799884,-77.06741,303201,131547369.0,PRIMARY_USE_RESIDENTIAL,496,4.0,Very Low,Low,Very Low,Low,Very Low,Low,High,Very High,['fluvial'],High,Very High,['fluvial'],High,Very High,['fluvial'],Very Low,Medium-High,Very Low,High,Very Low,Low,Very Low,Low
24,fc05764d-70ab-4d9f-aab6-abcb1a4c2bcf,6e508794-db22-4f5b-aa53-3c632d30f62c,e19367d4-b0f3-408e-8353-4c75af732f8c,663f0a50-5f18-4a1b-9351-074211b0d04c,7bd0a4ba-45ab-4b5f-acf8-2b9b8c0c2226,,19226,Reserve at Clarendon Centre,3000 N. Washington Blvd.,Arlington,VA,Arlington,22201,Washington DC,VA-Arlington-RB Corridor,1,2003,High-Rise,252,38.88497728,-77.0937795016596,216340,129651445.0,PRIMARY_USE_FOOD_SERVICE,346,11.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,High,Very Low,Medium,Very Low,Low
25,167b2d50-2038-4cee-954e-efb1ba287e1e,4e14e929-abc9-4990-9ecd-209477235300,ffe5f394-cb6d-4e57-9b72-0485645563e1,7412b3e0-ce40-4250-89eb-70db40268609,eeb93886-b592-4931-a4cb-3e99c9f09511,,19231,Church Corner,10 Magazine Street,Cambridge,MA,Middlesex,2139,Boston,MA-Cambridge,1,1987,Mid-Rise,85,42.36452836,-71.1050218260682,81632,70873378.0,PRIMARY_USE_RESIDENTIAL,182,10.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
26,c9d3fc53-c40d-4787-b1f9-19b8f85623eb,e49673f3-bc90-40a5-b2e1-32117d2ed2b1,2e4a8231-c946-4479-82df-2ffbdf3b2a08,f015e764-c285-4f87-9786-a6adf887f30c,e2cb9725-271a-4a07-a571-d22fe1a11a13,,19234,The Veridian,1133 East-West Highway,Silver Spring,MD,Montgomery,20910,Washington DC,MD-Silver Spring,1,2009,High-Rise,457,38.9899,-77.028575,395471,225923615.0,PRIMARY_USE_FOOD_SERVICE,621,15.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,High,Very Low,Medium,Very Low,Low
27,dc5903ac-b1b9-473c-a270-f609ebc49571,50349370-f690-479d-83d6-0f23890d5ca6,6cc61a5c-4590-4eb9-9485-bdfc29b21f5f,571066d1-69f0-47fb-848a-e6730d8716c5,809bd39d-51c1-404f-b39f-e98744f28c51,,19235,Highlands at South Plainfield,1300  Cook Lane,South Plainfield,NJ,Middlesex,7080,New York - Manhattan,NY-Suburbs,12,2000,Garden,252,40.55646459,-74.417526969741,230034,223756758.0,PRIMARY_USE_RESIDENTIAL,387,3.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Low,['none'],Very Low,Medium-High,Very Low,High,Very Low,Low,Very Low,Low
28,4fab9e1f-4161-4f89-8665-4cc2ab08c7b3,a23a1c77-b044-46c5-b8a8-d943fee85c06,63d33100-4a46-4266-8164-0c62ad93615c,34497e85-9bfa-45c5-8034-b9f4ddfd9a9e,10b2fb82-3917-428c-93c6-793af63a8c71,,19236,600 Washington,600 Washington Street,New York City,NY,New York,10014,New York - Manhattan,Manhattan-Chelsea,1,2004,Mid-Rise,135,40.73045,-74.009087,74089,89851511.0,PRIMARY_USE_RETAIL,149,7.0,Very Low,Low,Very Low,Low,Very Low,Low,Very Low,Low,['coastal'],Very Low,Medium,['coastal'],Very Low,Medium,['coastal'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
29,32e4d33c-7e4d-4134-9be3-aa0295e1d4e4,2230ea75-1a88-4275-8245-503d04e76d4c,58513811-2982-49aa-a67d-811c54291554,fa046517-167e-4555-a014-afff845092b6,616ec041-4889-4237-9157-a9d53e6509f0,,19239,Heritage at Stone Ridge,2 Littles Brook Court,Burlington,MA,Middlesex,1803,Boston,128 North,5,2005,Garden,180,42.48896655,-71.1869430541992,186514,85533396.0,PRIMARY_USE_RESIDENTIAL,292,3.0,Very Low,Low,Very Low,Low,Very Low,Low,Low-Medium,High,['pluvial'],Low-Medium,High,['pluvial'],Low-Medium,High,['pluvial'],Very Low,Medium-High,Very Low,Medium-High,Very Low,Low,Very Low,Low
